Incident Number,Opened At,Resolved At,Closed At,Category,Subcategory,Priority,Impact,Urgency,State,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Reopen Count,SLA Met,Resolution Hours,Caller ID,Month Year,Quarter
INC100011,2021-04-27 15:50:58,2021-05-01 15:50:58,2021-05-02 08:50:58,Network,Linux,Critical,Medium,High,Closed,Database Team,Kristopher Hill,Hyderabad,IT,Power BI Server,Civil sound per military break big.,3,No,96,Jennifer May,Apr-2021,Q2
INC100012,2023-11-03 01:12:04,2023-11-05 01:12:04,2023-11-05 02:12:04,Software,Oracle,Low,High,Medium,On Hold,Security Team,Linda Stephenson,Mumbai,Operations,Web Server,Claim investment on support citizen fish certain do.,1,No,48,Martin Oneill,Nov-2023,Q4
INC100013,2026-01-22 13:39:00,2026-01-22 21:39:00,2026-01-23 10:39:00,Security,Oracle,Low,High,Medium,In Progress,Application Support,Mrs. Nancy Mendoza MD,Hyderabad,Support,Active Directory,Argue everything town brother dark late act I base enter.,2,No,8,Pamela Cox,Jan-2026,Q1
INC100014,2024-03-28 04:50:52,2024-03-29 15:50:52,2024-03-30 08:50:52,Application,Firewall,Medium,Medium,High,Resolved,Linux Team,Taylor Smith,Kolkata,Sales,SAP Server,Method visit receive lawyer compare.,4,No,35,Alexis Barrett,Mar-2024,Q1
INC100015,2021-05-24 20:36:55,2021-05-26 02:36:55,2021-05-26 05:36:55,Hardware,Firewall,High,High,Medium,Resolved,Security Team,Greg Willis,Chennai,Marketing,SAP Server,Change myself career mean stock less.,0,No,30,Joshua Turner,May-2021,Q2
INC100016,2025-06-10 17:42:58,2025-06-11 07:42:58,2025-06-11 23:42:58,Network,Server,Medium,Medium,Low,New,Linux Team,David Cook,Chennai,HR,Active Directory,Eat case cup exactly recently physical simply focus easy break.,3,Yes,14,Joseph Wells,Jun-2025,Q2
INC100017,2022-05-18 07:07:35,2022-05-21 19:07:35,2022-05-22 06:07:35,Email,Printer,Medium,Medium,High,New,Application Support,Raymond Garrett,Kolkata,HR,SAP Server,Century government exist turn kind good anything door.,0,No,84,Gabriel Ball,May-2022,Q2
INC100018,2025-09-16 10:39:01,2025-09-18 10:39:01,2025-09-18 17:39:01,Security,Firewall,Low,Low,High,Closed,Linux Team,James Bates,Mumbai,Support,Web Server,Room behavior pattern film.,4,Yes,48,Jessica Stark,Sep-2025,Q3
INC100019,2025-07-19 14:33:20,2025-07-19 19:33:20,2025-07-20 10:33:20,Network,Firewall,High,Medium,High,In Progress,Cloud Team,Jessica Bowers,Chennai,HR,Web Server,Improve executive thus woman financial sea white little rock buy including.,3,Yes,5,Andre Moreno,Jul-2025,Q3
INC100020,2025-03-23 16:22:26,2025-03-26 16:22:26,2025-03-26 21:22:26,Hardware,Linux,Critical,Medium,Low,Resolved,Windows Team,Christine Nelson,Delhi,Operations,Active Directory,Kind process source north computer try.,3,No,72,Steven Reyes,Mar-2025,Q1
INC100021,2021-02-04 00:56:50,2021-02-07 07:56:50,2021-02-08 02:56:50,Application,Server,Low,Low,High,New,Database Team,Rebecca Williams,Chennai,Marketing,Power BI Server,Safe these agree but official second head again.,1,Yes,79,Lisa Palmer,Feb-2021,Q1
INC100022,2025-08-18 16:14:48,2025-08-22 04:14:48,2025-08-23 02:14:48,Database,Firewall,High,High,Medium,New,Service Desk,Stephen Neal,Kolkata,Marketing,Oracle DB,Truth child budget treat accept against.,4,No,84,Corey Wright,Aug-2025,Q3
INC100023,2023-10-23 08:28:00,2023-10-25 10:28:00,2023-10-26 08:28:00,Application,Laptop,High,High,Low,Resolved,Cloud Team,Ryan Baker,Bangalore,Support,VPN Gateway,Understand in contain sense certainly town owner environmental.,2,No,50,Corey Glass,Oct-2023,Q4
INC100024,2023-07-30 02:15:34,2023-08-02 22:15:34,2023-08-03 03:15:34,Software,Server,Low,Low,High,On Hold,Windows Team,Emily Jensen,Bangalore,Operations,SAP Server,Side business interesting everyone also out huge.,0,No,92,Patrick Morris,Jul-2023,Q3
INC100025,2025-11-26 05:50:34,2025-11-28 13:50:34,2025-11-29 05:50:34,Security,SQL,Low,High,High,New,Linux Team,Jared Norris,Bangalore,Finance,Power BI Server,List play teacher argue recently federal decade law.,1,No,56,Wesley Randolph,Nov-2025,Q4
INC100026,2022-01-21 00:48:23,2022-01-23 04:48:23,2022-01-23 06:48:23,Cloud,Windows,Low,Medium,Medium,New,Network Team,Benjamin Jones,Mumbai,HR,SAP Server,Step recent our often.,0,No,52,Angela Diaz,Jan-2022,Q1
INC100027,2024-05-29 05:49:57,2024-05-31 15:49:57,2024-06-01 00:49:57,Hardware,Linux,Medium,High,High,Closed,Windows Team,James Martinez,Pune,HR,CRM Server,Son rule factor will.,5,No,58,Amy Jones,May-2024,Q2
INC100028,2024-12-24 08:09:46,2024-12-25 03:09:46,2024-12-25 21:09:46,Hardware,Windows,Medium,Low,Low,Resolved,Security Team,Penny Hendricks,Hyderabad,Finance,Web Server,Treat board option institution special dog she century hope foot.,4,Yes,19,Marissa Bell,Dec-2024,Q4
INC100029,2025-11-29 18:28:22,2025-12-01 18:28:22,2025-12-02 14:28:22,Security,SQL,High,Low,High,Closed,Security Team,Courtney Crawford,Bangalore,Marketing,CRM Server,Assume citizen artist everyone thought later.,1,No,48,Joseph Carter,Nov-2025,Q4
INC100030,2023-03-14 03:39:12,2023-03-17 10:39:12,2023-03-17 23:39:12,Software,Linux,Critical,Medium,High,On Hold,Windows Team,Yolanda Holmes,Delhi,Operations,Power BI Server,Cut strong begin sport perhaps respond happy both nice.,2,Yes,79,Zachary Scott,Mar-2023,Q1
INC100031,2021-04-20 17:09:55,2021-04-21 18:09:55,2021-04-22 13:09:55,Database,VPN,High,Medium,Low,Resolved,Application Support,Melanie Young,Pune,Marketing,CRM Server,Section scientist available present performance senior sit election enough use return.,2,No,25,Teresa Marsh,Apr-2021,Q2
INC100032,2023-06-28 11:00:06,2023-06-29 14:00:06,2023-06-30 06:00:06,Software,Laptop,Low,Low,High,In Progress,Network Team,Jerry Phillips,Chennai,IT,Web Server,Become guy tax home range.,5,Yes,27,Robert Gray,Jun-2023,Q2
INC100033,2023-07-10 13:27:29,2023-07-12 07:27:29,2023-07-12 19:27:29,Software,Oracle,High,High,Medium,In Progress,Cloud Team,Robert Brady,Mumbai,Support,VPN Gateway,Stuff bar another of mention require morning trade food.,2,No,42,David Alexander,Jul-2023,Q3
INC100034,2023-07-21 07:23:49,2023-07-25 05:23:49,2023-07-26 04:23:49,Cloud,Windows,High,Low,Medium,Resolved,Security Team,Robert Williams,Pune,Sales,VPN Gateway,Entire arm western kid simply business throw.,5,No,94,Jessica Warren MD,Jul-2023,Q3
INC100035,2023-09-02 19:32:34,2023-09-05 02:32:34,2023-09-05 03:32:34,Application,VPN,Medium,Low,Medium,In Progress,Service Desk,Sarah Dillon,Hyderabad,Support,Web Server,Ahead purpose when court.,3,No,55,Sarah Lewis,Sep-2023,Q3
INC100036,2021-08-11 07:07:33,2021-08-13 02:07:33,2021-08-13 21:07:33,Network,Firewall,Critical,Low,Low,New,Windows Team,Johnny Parker,Kolkata,HR,Oracle DB,Natural military Mr fill fly later message home conference work.,3,No,43,Matthew Horton,Aug-2021,Q3
INC100037,2022-03-27 19:31:34,2022-03-28 13:31:34,2022-03-29 11:31:34,Software,Firewall,Critical,Low,High,In Progress,Windows Team,Patricia Jones,Mumbai,Finance,Power BI Server,Quickly star spend son certainly good easy clear begin.,2,No,18,Jennifer May,Mar-2022,Q1
INC100038,2025-12-31 14:12:27,2026-01-02 07:12:27,2026-01-03 00:12:27,Email,VPN,Medium,Low,Low,On Hold,Service Desk,Jeffrey Thompson,Pune,Sales,SAP Server,Test nor drive again real choose they beautiful.,0,No,41,Paul Ramirez,Dec-2025,Q4
INC100039,2023-06-03 17:11:51,2023-06-05 02:11:51,2023-06-05 14:11:51,Hardware,Printer,High,Medium,Low,On Hold,Linux Team,Terry Hill,Hyderabad,Operations,Active Directory,Indeed possible white for expect practice out road.,4,Yes,33,Mrs. Cynthia Carroll DVM,Jun-2023,Q2
INC100040,2023-01-20 02:07:30,2023-01-22 02:07:30,2023-01-22 13:07:30,Software,Linux,Low,High,High,On Hold,Cloud Team,Steven Parker,Kolkata,Operations,Active Directory,This early protect yard guess.,5,No,48,Juan Jordan,Jan-2023,Q1
INC100041,2025-04-13 11:44:30,2025-04-17 10:44:30,2025-04-17 15:44:30,Email,Firewall,Medium,Low,Medium,New,Cloud Team,Scott Curry,Delhi,Sales,Active Directory,Late Democrat threat ball lay.,4,No,95,Christopher Valdez,Apr-2025,Q2
INC100042,2026-04-10 10:24:02,2026-04-13 00:24:02,2026-04-13 15:24:02,Email,Server,Medium,High,Medium,In Progress,Security Team,Teresa Gomez,Kolkata,Operations,Power BI Server,Agent strong street day act star.,3,No,62,Matthew Wilkins,Apr-2026,Q2
INC100043,2025-05-22 08:05:38,2025-05-22 14:05:38,2025-05-22 22:05:38,Software,Firewall,Low,Medium,High,Resolved,Network Team,Rhonda Mccoy,Delhi,IT,CRM Server,Anyone personal half push something.,4,Yes,6,Amanda Harvey,May-2025,Q2
INC100044,2022-09-13 09:39:15,2022-09-14 00:39:15,2022-09-14 06:39:15,Hardware,Linux,Low,High,Low,Closed,Database Team,Steven Chen,Chennai,Finance,Oracle DB,Campaign voice note first very edge wear.,0,Yes,15,Isaiah Davis,Sep-2022,Q3
INC100045,2024-03-31 02:17:49,2024-04-02 07:17:49,2024-04-02 21:17:49,Application,Printer,High,High,Low,On Hold,Network Team,Maria Young,Pune,Operations,SAP Server,Early visit special deep field sport.,5,No,53,Christopher Valdez,Mar-2024,Q1
INC100046,2021-10-20 20:34:02,2021-10-21 03:34:02,2021-10-21 23:34:02,Hardware,Windows,Low,Low,High,New,Windows Team,Mrs. Jennifer Smith,Chennai,Sales,Power BI Server,Thing economic owner world pull artist easy sign enter.,1,No,7,Matthew Lucero,Oct-2021,Q4
INC100047,2025-03-15 12:31:19,2025-03-16 20:31:19,2025-03-17 00:31:19,Software,Printer,Critical,High,Low,On Hold,Database Team,Hailey Simon,Bangalore,HR,Power BI Server,Total they environmental stop important way whose.,0,Yes,32,Samuel Brown,Mar-2025,Q1
INC100048,2023-04-18 02:09:10,2023-04-21 15:09:10,2023-04-22 15:09:10,Application,Printer,High,Low,Low,Closed,Security Team,Zachary Cardenas,Chennai,IT,Exchange Server,Prove year leave those.,1,Yes,85,Lisa Le,Apr-2023,Q2
INC100049,2021-05-24 11:32:15,2021-05-26 12:32:15,2021-05-27 03:32:15,Cloud,Laptop,Low,Low,Low,New,Network Team,Jacob Trujillo,Hyderabad,Marketing,Power BI Server,How list try daughter their.,5,Yes,49,Laurie Davenport,May-2021,Q2
INC100050,2022-03-18 13:06:23,2022-03-22 13:06:23,2022-03-23 09:06:23,Security,Windows,High,High,Low,In Progress,Application Support,Kathleen Dunlap,Bangalore,Marketing,VPN Gateway,Standard measure seek war task.,3,No,96,Richard Jenkins,Mar-2022,Q1
INC100051,2022-12-14 18:21:46,2022-12-17 01:21:46,2022-12-17 06:21:46,Network,Laptop,Low,High,Low,New,Windows Team,Donna Campbell,Pune,HR,Exchange Server,Blood bank cut five speech move.,5,Yes,55,Gloria Ortiz,Dec-2022,Q4
INC100052,2024-06-27 16:07:46,2024-07-01 09:07:46,2024-07-02 02:07:46,Database,Linux,Medium,Low,Low,On Hold,Linux Team,Mark Quinn,Kolkata,Sales,VPN Gateway,Other who less add measure message.,1,No,89,Nathan Ward,Jun-2024,Q2
INC100053,2025-02-04 03:01:01,2025-02-06 10:01:01,2025-02-06 20:01:01,Hardware,Server,Low,Medium,Medium,In Progress,Windows Team,Robert Sloan,Pune,Finance,Oracle DB,Tonight enough federal care PM.,5,Yes,55,Daniel Long,Feb-2025,Q1
INC100054,2023-11-20 00:59:34,2023-11-23 05:59:34,2023-11-23 19:59:34,Software,Firewall,Critical,High,High,Closed,Security Team,Edward Gonzales,Chennai,Finance,Web Server,Couple mouth sister bar eat fund will school.,4,Yes,77,Robert Schmidt,Nov-2023,Q4
INC100055,2022-06-01 15:48:20,2022-06-02 12:48:20,2022-06-03 03:48:20,Security,VPN,Critical,Medium,High,Closed,Windows Team,Steven Mckay,Mumbai,Support,Active Directory,Common beat particularly city.,5,Yes,21,Melinda Lopez,Jun-2022,Q2
INC100056,2023-02-19 22:13:36,2023-02-20 06:13:36,2023-02-20 17:13:36,Software,Server,Critical,Low,High,New,Database Team,Hannah Padilla,Bangalore,Support,Oracle DB,Exist well success herself mention lawyer bring must.,3,Yes,8,Raymond Diaz,Feb-2023,Q1
INC100057,2021-10-07 03:26:57,2021-10-07 08:26:57,2021-10-07 16:26:57,Software,Laptop,Medium,Low,Medium,In Progress,Application Support,Nicholas Lawrence,Pune,Finance,Exchange Server,More also decide begin toward end they any exist.,4,Yes,5,Paul Bennett,Oct-2021,Q4
INC100058,2024-05-01 07:17:54,2024-05-01 09:17:54,2024-05-02 04:17:54,Cloud,VPN,Medium,High,High,On Hold,Network Team,Luis Brooks,Chennai,Support,SAP Server,Moment environment somebody but throw American.,2,No,2,Richard Gomez,May-2024,Q2
INC100059,2022-06-14 13:12:44,2022-06-16 06:12:44,2022-06-17 03:12:44,Database,Laptop,Medium,Low,Low,New,Application Support,John Arias,Kolkata,Support,Power BI Server,Will single think modern want.,1,Yes,41,Glen Roberts,Jun-2022,Q2
INC100060,2022-07-23 07:17:00,2022-07-23 08:17:00,2022-07-23 19:17:00,Application,VPN,Critical,High,Medium,Closed,Network Team,David Baker,Bangalore,HR,VPN Gateway,Hold him process clear smile car write.,2,Yes,1,Garrett Wilson,Jul-2022,Q3
INC100061,2021-02-20 13:36:54,2021-02-23 22:36:54,2021-02-24 09:36:54,Email,SQL,High,Low,Low,In Progress,Linux Team,Logan Rogers,Bangalore,Sales,Exchange Server,Threat during behavior themselves Congress model listen learn fight.,0,No,81,Marie Ewing,Feb-2021,Q1
INC100062,2025-02-21 14:17:45,2025-02-24 09:17:45,2025-02-25 08:17:45,Database,Server,High,Low,Medium,Resolved,Cloud Team,Julie Burch,Pune,Finance,SAP Server,Middle forget front source end Republican west various his tell.,3,Yes,67,Debra Hill,Feb-2025,Q1
INC100063,2026-05-02 01:23:05,2026-05-02 18:23:05,2026-05-02 19:23:05,Security,SQL,Medium,Medium,Medium,In Progress,Windows Team,Brooke Wilcox,Bangalore,Finance,Web Server,What expert particular send ball sit sort Democrat model.,1,Yes,17,Joshua Romero,May-2026,Q2
INC100064,2024-05-25 14:21:37,2024-05-28 12:21:37,2024-05-28 19:21:37,Hardware,Oracle,Medium,Low,Low,On Hold,Application Support,Christopher Green,Bangalore,Operations,Web Server,Far be rest event through.,0,No,70,Cody Lowe,May-2024,Q2
INC100065,2022-06-23 17:16:15,2022-06-27 15:16:15,2022-06-28 04:16:15,Cloud,Linux,Critical,Medium,Low,Resolved,Application Support,Ryan Weaver,Pune,IT,SAP Server,Several result sure early run.,3,No,94,Gerald Stephenson,Jun-2022,Q2
INC100066,2021-11-19 12:28:32,2021-11-20 18:28:32,2021-11-20 21:28:32,Cloud,SQL,Critical,High,Low,Closed,Service Desk,Barbara Walsh,Delhi,Support,Power BI Server,Deal less go moment significant a position management player school.,1,Yes,30,Kathleen Sanchez,Nov-2021,Q4
INC100067,2021-01-23 20:32:31,2021-01-25 10:32:31,2021-01-26 07:32:31,Hardware,Firewall,Critical,Low,High,In Progress,Security Team,Joseph Mccann,Chennai,IT,Exchange Server,Page anything second company.,0,No,38,Dawn Lopez,Jan-2021,Q1
INC100068,2021-08-08 17:50:44,2021-08-12 10:50:44,2021-08-12 21:50:44,Security,Server,High,High,Low,Closed,Network Team,Luis Thompson,Bangalore,Sales,VPN Gateway,Training serve strong region degree teach kitchen one.,2,No,89,Gregory Oliver,Aug-2021,Q3
INC100069,2025-09-23 07:59:13,2025-09-26 04:59:13,2025-09-26 23:59:13,Hardware,Windows,Critical,Medium,High,In Progress,Application Support,Meghan Aguirre,Chennai,Marketing,Oracle DB,Large him history sign interview hospital walk laugh.,4,Yes,69,David Duarte,Sep-2025,Q3
INC100070,2022-04-13 02:53:26,2022-04-16 06:53:26,2022-04-17 01:53:26,Software,Server,Low,High,High,New,Application Support,Diana Hughes,Delhi,Support,SAP Server,Speak near fast rock expect particular least president.,4,No,76,Michael Clark,Apr-2022,Q2
INC100071,2022-04-28 16:39:39,2022-05-01 22:39:39,2022-05-02 09:39:39,Cloud,Linux,Critical,Low,Medium,Closed,Database Team,Jeffrey Snyder,Mumbai,Support,VPN Gateway,Friend TV certain occur scientist list do.,1,Yes,78,Ricky Cabrera,Apr-2022,Q2
INC100072,2023-04-28 05:52:56,2023-04-29 19:52:56,2023-04-30 01:52:56,Software,Windows,Critical,High,High,On Hold,Security Team,Luis Thomas,Pune,IT,Exchange Server,Wide such figure least PM my music sing radio moment.,0,No,38,Adam Kim,Apr-2023,Q2
INC100073,2025-09-23 15:35:03,2025-09-25 15:35:03,2025-09-25 17:35:03,Database,SQL,Critical,Medium,Low,Resolved,Service Desk,Amy Williamson,Hyderabad,Sales,CRM Server,Happen natural raise raise never happy yourself artist anything listen.,2,Yes,48,Crystal Daniels,Sep-2025,Q3
INC100074,2026-01-25 19:13:41,2026-01-27 02:13:41,2026-01-27 19:13:41,Email,SQL,Low,High,Low,Resolved,Application Support,Elizabeth Murray,Bangalore,Marketing,Oracle DB,Than image interview call tell challenge best.,4,No,31,Benjamin Griffin,Jan-2026,Q1
INC100075,2021-08-03 02:01:00,2021-08-06 16:01:00,2021-08-06 19:01:00,Database,Laptop,Critical,Low,High,On Hold,Database Team,Veronica Osborne,Delhi,Operations,CRM Server,Body say believe participant general back paper he.,0,No,86,Johnny Shepherd,Aug-2021,Q3
INC100076,2024-07-27 19:40:14,2024-07-29 01:40:14,2024-07-29 12:40:14,Application,Printer,Medium,Medium,High,In Progress,Windows Team,Janet Roy,Bangalore,Sales,VPN Gateway,Here week reality discover.,3,No,30,Morgan Williams,Jul-2024,Q3
INC100077,2024-08-14 16:34:34,2024-08-18 14:34:34,2024-08-18 21:34:34,Email,Oracle,Medium,High,Low,Resolved,Windows Team,Karen Taylor,Chennai,IT,Active Directory,Whatever anyone expert investment relate because get particular.,0,Yes,94,Dave Floyd,Aug-2024,Q3
INC100078,2022-03-24 20:54:14,2022-03-26 15:54:14,2022-03-26 16:54:14,Software,SQL,Low,Medium,Low,New,Windows Team,Susan Bentley,Hyderabad,Sales,VPN Gateway,Art half same young a official card television must.,4,No,43,Brian Foster,Mar-2022,Q1
INC100079,2021-03-01 07:52:49,2021-03-01 20:52:49,2021-03-02 10:52:49,Database,Oracle,Low,Medium,Low,Closed,Cloud Team,Carmen Haney,Mumbai,Support,Oracle DB,Population eight manager during each history system big and.,0,No,13,Christopher Mann,Mar-2021,Q1
INC100080,2024-10-10 06:57:27,2024-10-10 19:57:27,2024-10-10 22:57:27,Network,Laptop,High,High,Medium,Resolved,Network Team,Bryan Myers,Bangalore,IT,Web Server,Reality nature strategy whole floor.,3,No,13,Ryan Henson,Oct-2024,Q4
INC100081,2023-06-09 18:44:52,2023-06-10 17:44:52,2023-06-10 20:44:52,Application,VPN,High,Low,High,In Progress,Cloud Team,David Coleman,Mumbai,HR,Web Server,Especially his resource until inside try on late senior.,2,No,23,Robert Martinez,Jun-2023,Q2
INC100082,2023-11-15 23:19:58,2023-11-18 07:19:58,2023-11-18 19:19:58,Email,Laptop,Low,Low,Medium,Resolved,Network Team,Monica Reynolds,Pune,HR,SAP Server,Raise loss fear experience glass clearly.,0,Yes,56,Stephen Tucker,Nov-2023,Q4
INC100083,2022-04-24 09:26:13,2022-04-27 16:26:13,2022-04-28 00:26:13,Security,SQL,Low,High,Low,New,Linux Team,Jeffrey Reyes,Bangalore,Finance,Web Server,Herself population leader night deal.,2,No,79,Claudia Thomas,Apr-2022,Q2
INC100084,2024-07-29 19:39:24,2024-08-01 10:39:24,2024-08-01 12:39:24,Security,Server,Medium,Low,High,Resolved,Security Team,Nicole Bennett,Hyderabad,HR,Active Directory,Far top author finally old word.,1,No,63,Daniel Long,Jul-2024,Q3
INC100085,2026-06-13 16:20:33,2026-06-16 23:20:33,2026-06-17 14:20:33,Database,Server,Medium,Medium,High,Closed,Service Desk,Sean Chavez,Mumbai,Marketing,VPN Gateway,Sea dinner require me key professional.,1,No,79,Kathryn Joseph,Jun-2026,Q2
INC100086,2021-02-14 09:02:38,2021-02-17 21:02:38,2021-02-17 22:02:38,Database,Windows,High,Medium,High,On Hold,Database Team,Thomas Vega,Kolkata,Marketing,Oracle DB,Interest any would world news industry others person focus population.,4,Yes,84,Wayne Rodriguez,Feb-2021,Q1
INC100087,2024-02-23 04:00:08,2024-02-24 05:00:08,2024-02-24 09:00:08,Software,VPN,Low,Medium,Low,On Hold,Network Team,Andrea Huynh,Pune,Marketing,Active Directory,Imagine magazine school trial wait inside.,1,No,25,Matthew Hicks,Feb-2024,Q1
INC100088,2026-03-02 20:13:47,2026-03-03 01:13:47,2026-03-03 13:13:47,Database,Firewall,Low,High,Medium,On Hold,Database Team,Andrew Robinson,Mumbai,Marketing,Active Directory,Painting them everyone high language.,3,Yes,5,Matthew Carter,Mar-2026,Q1
INC100089,2024-06-22 07:56:50,2024-06-22 22:56:50,2024-06-23 15:56:50,Security,Oracle,Medium,High,High,On Hold,Cloud Team,Ian Burke,Chennai,Support,Power BI Server,Social whole would capital behind build night house south training tend.,3,No,15,Travis Knox,Jun-2024,Q2
INC100090,2024-09-30 04:00:28,2024-10-02 06:00:28,2024-10-02 19:00:28,Hardware,Laptop,Low,Medium,Medium,New,Windows Team,Olivia Moore,Hyderabad,Support,Active Directory,Huge team want local forget condition put significant three cell.,2,No,50,Olivia Harper,Sep-2024,Q3
INC100091,2023-12-02 09:58:43,2023-12-02 20:58:43,2023-12-03 03:58:43,Email,VPN,Low,Low,Medium,On Hold,Linux Team,Jessica Guerrero,Delhi,HR,CRM Server,Teach garden score effect necessary current hour off.,1,Yes,11,Linda Johnson,Dec-2023,Q4
INC100092,2026-02-23 04:13:23,2026-02-26 07:13:23,2026-02-26 12:13:23,Email,Printer,Critical,Low,Medium,New,Linux Team,Leslie Willis,Kolkata,Finance,Oracle DB,Research fish great standard again act.,0,Yes,75,Anthony Valdez,Feb-2026,Q1
INC100093,2025-05-06 10:50:02,2025-05-08 11:50:02,2025-05-09 06:50:02,Database,VPN,Medium,Medium,Low,Closed,Application Support,Rachael Rivera,Hyderabad,IT,Active Directory,Thought detail let decide reality him edge force go.,0,No,49,Carly Taylor,May-2025,Q2
INC100094,2025-03-03 02:19:59,2025-03-05 05:19:59,2025-03-05 12:19:59,Security,Printer,Medium,High,High,In Progress,Cloud Team,Cristina Simpson,Chennai,Marketing,CRM Server,Determine hospital major type for whether.,0,No,51,Jose Richardson,Mar-2025,Q1
INC100095,2023-07-27 07:27:43,2023-07-28 18:27:43,2023-07-29 13:27:43,Hardware,Firewall,Critical,Low,High,Closed,Windows Team,Virginia Torres,Hyderabad,Marketing,Oracle DB,Go watch safe old dream call bill employee.,4,Yes,35,Christopher Valdez,Jul-2023,Q3
INC100096,2025-05-14 10:13:44,2025-05-15 23:13:44,2025-05-16 02:13:44,Software,Windows,Low,Medium,Medium,Resolved,Network Team,Joseph Murray,Kolkata,Marketing,CRM Server,Dog school water cut else grow.,0,No,37,Amber Dominguez,May-2025,Q2
INC100097,2025-06-27 17:25:53,2025-06-29 06:25:53,2025-06-29 08:25:53,Network,Server,Low,Medium,High,Closed,Network Team,Robert Medina,Bangalore,Marketing,CRM Server,Radio plant food according create very response Mrs.,5,No,37,Yesenia Martin,Jun-2025,Q2
INC100098,2024-02-14 08:19:13,2024-02-15 17:19:13,2024-02-16 11:19:13,Database,Oracle,Low,High,Medium,Resolved,Application Support,Michael Jackson,Bangalore,Finance,Active Directory,Early public stop degree.,0,Yes,33,Patricia Miles,Feb-2024,Q1
INC100099,2021-10-22 12:34:54,2021-10-24 17:34:54,2021-10-25 12:34:54,Network,Laptop,Medium,Low,Medium,Closed,Linux Team,Cheryl Huang,Kolkata,IT,Exchange Server,Real someone whether drug air recognize her occur instead.,0,Yes,53,Anna Burton,Oct-2021,Q4
INC100100,2024-08-24 15:07:11,2024-08-25 07:07:11,2024-08-26 02:07:11,Hardware,SQL,Critical,Medium,Low,New,Application Support,Angelica Torres,Kolkata,Sales,Power BI Server,Occur toward participant test poor whatever son age change fall.,2,Yes,16,Brian Foster,Aug-2024,Q3
INC100101,2025-05-07 03:37:10,2025-05-10 22:37:10,2025-05-11 07:37:10,Database,Printer,Critical,High,High,Closed,Linux Team,Whitney Garcia,Hyderabad,HR,CRM Server,Cell develop whether store large this give side couple cup.,2,Yes,91,Thomas Newman,May-2025,Q2
